round_index,selected_model,selected_overlap,prior_signal_objective,signal_top7_hits,signal_actual_mass,signal_log_edge,signal_brier_edge,portfolio_max_hits,portfolio_mean_hits,portfolio_ge3,portfolio_ge4,portfolio_score,random_max_hits,random_mean_hits,random_ge3,random_ge4,random_score,score_delta_vs_random
655,signal-g00622-c01-5b0ae9f103,0.65,-0.036272783988817586,3.0,0.20797429387762018,0.04892001616152575,0.003647356950416708,3.0,1.6,1.0,0.0,3.5100000000000002,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7327856445312504
656,signal-g00622-c01-5b0ae9f103,0.65,-0.03271020520835845,2.0,0.19144416753527263,-0.010336675276211071,-0.001238768215103353,4.0,1.8,1.0,1.0,5.279999999999999,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,2.5027856445312495
657,signal-g00622-c01-5b0ae9f103,0.65,-0.03277121488550846,1.0,0.1735279062329187,-0.09618968973415454,-0.0061266429315220555,2.0,1.0,0.0,0.0,2.1,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6772143554687498
658,signal-g00622-c01-5b0ae9f103,0.65,-0.03676643601706095,1.0,0.1946958099298264,-0.012267288608949656,0.0001252743130800149,2.0,1.2,0.0,0.0,2.12,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6572143554687497
659,signal-g00622-c01-5b0ae9f103,0.65,-0.03468521563757122,1.0,0.18077007695957018,-0.05977108100454531,-0.004523857381252133,2.0,1.2,0.0,0.0,2.12,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6572143554687497
660,signal-g00622-c01-5b0ae9f103,0.65,-0.03377430915423952,1.0,0.20232072740124085,0.009194899697869463,0.0021297401845655484,2.0,1.4,0.0,0.0,2.14,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6372143554687497
661,signal-g00622-c01-5b0ae9f103,0.65,-0.033516958777143016,3.0,0.2370745980114157,0.13099653707349068,0.011026420176291352,3.0,2.0,1.0,0.0,3.5500000000000003,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7727856445312504
662,signal-g00622-c01-5b0ae9f103,0.65,-0.02499970832855137,1.0,0.17459910210901047,-0.0886052595748672,-0.007814627140778116,2.0,1.2,0.0,0.0,2.12,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6572143554687497
663,signal-g00622-c01-5b0ae9f103,0.65,-0.02714664193732836,0.0,0.16503490294555576,-0.1384855798956499,-0.010116477399638293,3.0,1.0,1.0,0.0,3.45,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.6727856445312503
664,signal-g00622-c01-5b0ae9f103,0.65,-0.030878308967432017,0.0,0.1642193501958371,-0.14292598410084167,-0.00995454631243585,1.0,0.4,0.0,0.0,1.04,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-1.7372143554687498
665,signal-g00622-c01-5b0ae9f103,0.65,-0.03704676803021872,2.0,0.1915257515182497,-0.0006872587289596943,-0.001833862532774344,3.0,1.6,1.0,0.0,3.5100000000000002,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7327856445312504
666,signal-g00622-c01-5b0ae9f103,0.65,-0.03766360556121777,1.0,0.18164978999758838,-0.05079590556496916,-0.004280920654032377,3.0,1.8,1.0,0.0,3.5300000000000002,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7527856445312504
667,signal-g00622-c01-5b0ae9f103,0.65,-0.040134226316986536,3.0,0.2040836019538193,0.05601685104773324,0.0023873036665902347,3.0,2.0,1.0,0.0,3.5500000000000003,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7727856445312504
668,signal-g00622-c01-5b0ae9f103,0.65,-0.03473408592666972,2.0,0.20375093190286309,0.04813421193810008,0.0025511218451588352,2.0,1.6,0.0,0.0,2.16,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6172143554687497
669,signal-g00622-c01-5b0ae9f103,0.65,-0.031544706909483855,0.0,0.16969406886276167,-0.11264714953186328,-0.00734850521901774,1.0,0.8,0.0,0.0,1.08,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-1.6972143554687498
670,signal-g00622-c01-5b0ae9f103,0.65,-0.036985503776823074,1.0,0.17622535872884137,-0.07483137558188169,-0.005124281291880944,2.0,1.0,0.0,0.0,2.1,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6772143554687498
671,signal-g00622-c01-5b0ae9f103,0.65,-0.039890492424421484,2.0,0.19776822177036552,0.010751265262733511,0.0012228094707015108,3.0,1.8,1.0,0.0,3.5300000000000002,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7527856445312504
672,signal-g00622-c01-5b0ae9f103,0.65,-0.039318734887453265,1.0,0.1790261657643475,-0.06329629888190569,-0.004470879639065159,2.0,1.0,0.0,0.0,2.1,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6772143554687498
673,signal-g00622-c01-5b0ae9f103,0.65,-0.04278783418415259,2.0,0.20747882203052898,0.0710963201902639,0.003787264254408493,3.0,2.2,1.0,0.0,3.5700000000000003,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7927856445312504
674,signal-g00622-c01-5b0ae9f103,0.65,-0.03957299902381685,4.0,0.24603891741600148,0.2322009837740473,0.014801879743563742,4.0,2.8,1.0,1.0,5.38,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,2.60278564453125
675,signal-g00622-c01-5b0ae9f103,0.65,-0.02996096624523557,0.0,0.16973317114888342,-0.11464138652841305,-0.007426306750805842,2.0,1.2,0.0,0.0,2.12,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6572143554687497
676,signal-g00622-c01-5b0ae9f103,0.65,-0.033945143118332105,2.0,0.19951832966041544,0.00825260127784766,0.001406148036079427,3.0,1.6,1.0,0.0,3.5100000000000002,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7327856445312504
677,signal-g00622-c01-5b0ae9f103,0.65,-0.03395764370111632,2.0,0.1875742889511527,-0.025358104611586718,-0.002569467733709835,3.0,1.6,1.0,0.0,3.5100000000000002,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7327856445312504
678,signal-g00622-c01-5b0ae9f103,0.65,-0.03253333947739749,3.0,0.20841023026953476,0.056850978451871814,0.0036334891150538173,3.0,1.4,1.0,0.0,3.49,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7127856445312504
679,signal-g00622-c01-5b0ae9f103,0.65,-0.028081220434998295,3.0,0.23869186357481167,0.19300581718603294,0.012192362061067066,4.0,2.8,1.0,1.0,5.38,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,2.60278564453125
680,signal-g00622-c01-5b0ae9f103,0.65,-0.020622843774980457,2.0,0.2020657440474291,0.01355115715738986,0.0015813279101747207,3.0,1.4,1.0,0.0,3.49,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7127856445312504
681,signal-g00622-c01-5b0ae9f103,0.65,-0.019805760846630827,1.0,0.18624688020868435,-0.03427214834905579,-0.0035269250941044883,2.0,1.2,0.0,0.0,2.12,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6572143554687497
