round_index,model_version,model_score,random_score,score_delta_vs_random,model_max_hits,model_mean_hits,model_ge3,model_ge4,random_max_hits,random_mean_hits,random_ge3,random_ge4
176,evo-g00613-c01-ac96dbf10a,2.120000,3.026250,-0.906250,2,1.200000,0,0,2.625000,1.325000,0.500000,0.125000
177,evo-g00613-c01-ac96dbf10a,2.120000,3.597500,-1.477500,2,1.200000,0,0,3.000000,1.475000,0.750000,0.250000
178,evo-g00613-c01-ac96dbf10a,2.140000,2.171250,-0.031250,2,1.400000,0,0,2.000000,1.275000,0.125000,0.000000
179,evo-g00613-c01-ac96dbf10a,2.160000,2.732500,-0.572500,2,1.600000,0,0,2.375000,1.325000,0.375000,0.125000
180,evo-g00613-c01-ac96dbf10a,2.120000,3.171250,-1.051250,2,1.200000,0,0,2.750000,1.525000,0.500000,0.125000
181,evo-g00613-c01-ac96dbf10a,1.060000,3.046250,-1.986250,1,0.600000,0,0,2.625000,1.525000,0.500000,0.125000
182,evo-g00613-c01-ac96dbf10a,5.240000,2.350000,2.890000,4,1.400000,1,1,2.125000,1.375000,0.250000,0.000000
183,evo-g00613-c01-ac96dbf10a,2.100000,2.168750,-0.068750,2,1.000000,0,0,2.000000,1.250000,0.125000,0.000000
184,evo-g00613-c01-ac96dbf10a,3.510000,2.670000,0.840000,3,1.600000,1,0,2.375000,1.200000,0.500000,0.000000
185,evo-g00613-c01-ac96dbf10a,3.490000,2.430000,1.060000,3,1.400000,1,0,2.125000,1.300000,0.500000,0.000000
186,evo-g00613-c01-ac96dbf10a,2.080000,3.610000,-1.530000,2,0.800000,0,0,3.000000,1.600000,0.750000,0.250000
187,evo-g00613-c01-ac96dbf10a,3.450000,2.700000,0.750000,3,1.000000,1,0,2.375000,1.500000,0.500000,0.000000
188,evo-g00613-c01-ac96dbf10a,3.470000,2.452500,1.017500,3,1.200000,1,0,2.250000,1.150000,0.250000,0.000000
189,evo-g00613-c01-ac96dbf10a,2.140000,4.135000,-1.995000,2,1.400000,0,0,3.375000,1.725000,0.875000,0.375000
190,evo-g00613-c01-ac96dbf10a,2.100000,3.112500,-1.012500,2,1.000000,0,0,2.625000,1.250000,0.500000,0.250000
191,evo-g00613-c01-ac96dbf10a,3.490000,2.470000,1.020000,3,1.400000,1,0,2.125000,1.200000,0.375000,0.125000
192,evo-g00613-c01-ac96dbf10a,2.080000,2.192500,-0.112500,2,0.800000,0,0,2.000000,1.050000,0.250000,0.000000
193,evo-g00613-c01-ac96dbf10a,2.140000,2.212500,-0.072500,2,1.400000,0,0,2.000000,1.250000,0.250000,0.000000
