round_index,model_version,model_score,model_max_hits,model_mean_hits,model_ge3,model_ge4
365,feedback-g00331-c01-2d02d2d61a,2.160000,2,1.600000,0,0
366,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
367,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
368,feedback-g00331-c01-2d02d2d61a,3.450000,3,1.000000,1,0
369,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
370,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
371,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
372,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
373,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
374,feedback-g00331-c01-2d02d2d61a,5.300000,4,2.000000,1,1
375,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
376,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
377,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
378,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
379,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
380,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
381,feedback-g00331-c01-2d02d2d61a,2.160000,2,1.600000,0,0
382,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
383,feedback-g00331-c01-2d02d2d61a,3.550000,3,2.000000,1,0
384,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
385,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
386,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
387,feedback-g00331-c01-2d02d2d61a,2.080000,2,0.800000,0,0
388,feedback-g00331-c01-2d02d2d61a,2.160000,2,1.600000,0,0
389,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
390,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
391,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
392,feedback-g00331-c01-2d02d2d61a,5.260000,4,1.600000,1,1
393,feedback-g00331-c01-2d02d2d61a,3.550000,3,2.000000,1,0
394,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
395,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
396,feedback-g00331-c01-2d02d2d61a,2.080000,2,0.800000,0,0
397,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
398,feedback-g00331-c01-2d02d2d61a,3.530000,3,1.800000,1,0
399,feedback-g00331-c01-2d02d2d61a,5.240000,4,1.400000,1,1
400,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
401,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
402,feedback-g00331-c01-2d02d2d61a,2.160000,2,1.600000,0,0
403,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
404,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
405,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
406,feedback-g00331-c01-2d02d2d61a,1.080000,1,0.800000,0,0
407,feedback-g00331-c01-2d02d2d61a,3.430000,3,0.800000,1,0
408,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
409,feedback-g00331-c01-2d02d2d61a,2.180000,2,1.800000,0,0
410,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
411,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
412,feedback-g00331-c01-2d02d2d61a,3.550000,3,2.000000,1,0
413,feedback-g00331-c01-2d02d2d61a,6.300000,5,2.000000,1,1
414,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
415,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
416,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
417,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
418,feedback-g00331-c01-2d02d2d61a,2.160000,2,1.600000,0,0
419,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
420,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
421,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
422,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
423,feedback-g00331-c01-2d02d2d61a,3.530000,3,1.800000,1,0
424,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
425,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
