round,draw_date,selected_meta_version,meta_top7_hits,hedge_top7_hits,meta_actual_mass,hedge_actual_mass,meta_mean_log_prob_actual,hedge_mean_log_prob_actual,meta_brier,hedge_brier
第599回,2024-11-01,meta-conservative-bacedfc8a9,1.000000,1.000000,0.188161895306,0.161375579961,-3.616749796460,-3.846009211101,0.116179066817,0.141690640730
第600回,2024-11-08,meta-conservative-bacedfc8a9,2.000000,1.000000,0.192838827947,0.194740039802,-3.593073997048,-3.683116111108,0.114855902808,0.130261264146
第601回,2024-11-15,meta-conservative-bacedfc8a9,1.000000,1.000000,0.185197563969,0.166927570034,-3.635177537080,-3.788675500233,0.117159706420,0.134474208000
第602回,2024-11-22,meta-conservative-bacedfc8a9,2.000000,3.000000,0.192419408116,0.241382748075,-3.594749609212,-3.594174482538,0.114970864735,0.110199784210
第603回,2024-11-29,meta-conservative-bacedfc8a9,1.000000,2.000000,0.184884215744,0.176177177043,-3.636304487866,-3.767673678977,0.117192983744,0.133344349502
第604回,2024-12-06,meta-conservative-bacedfc8a9,1.000000,1.000000,0.190395817218,0.182088677182,-3.605380414357,-3.793001893270,0.115523427082,0.129361692407
第605回,2024-12-13,meta-conservative-bacedfc8a9,1.000000,1.000000,0.186432255048,0.211747519504,-3.626591986502,-3.697550234593,0.116674938678,0.120421040675
第606回,2024-12-20,meta-conservative-bacedfc8a9,0.000000,2.000000,0.185605552444,0.161223769171,-3.630305092161,-3.849091643495,0.116904146382,0.136873388498
第607回,2024-12-27,meta-conservative-bacedfc8a9,2.000000,1.000000,0.192292259171,0.158142708914,-3.595010166604,-3.821533297388,0.114980552068,0.136328397297
第608回,2025-01-10,meta-conservative-bacedfc8a9,2.000000,1.000000,0.193477482146,0.165573259182,-3.589276041374,-3.812854279799,0.114662266620,0.131706912803
第609回,2025-01-17,meta-conservative-bacedfc8a9,0.000000,1.000000,0.186727857337,0.185776725569,-3.624788598391,-3.695381805259,0.116624863389,0.124373089058
第610回,2025-01-24,meta-conservative-bacedfc8a9,0.000000,0.000000,0.186976085368,0.177717372262,-3.623215262614,-3.729025264946,0.116501414647,0.126385176745
第611回,2025-01-31,meta-conservative-bacedfc8a9,1.000000,2.000000,0.189267087802,0.219693719299,-3.611112591046,-3.498502909814,0.115848255712,0.113210882598
第612回,2025-02-07,meta-conservative-bacedfc8a9,2.000000,1.000000,0.186439171653,0.188012885361,-3.630580277363,-3.719503826406,0.116797120371,0.122717305645
第613回,2025-02-14,meta-conservative-bacedfc8a9,0.000000,0.000000,0.183335551844,0.122257989062,-3.642509005831,-4.092587778376,0.117556333326,0.141708563117
第614回,2025-02-21,meta-conservative-bacedfc8a9,3.000000,2.000000,0.197656034847,0.188201792271,-3.573966275172,-3.761912654991,0.113688966688,0.121355771462
第615回,2025-02-28,meta-conservative-bacedfc8a9,1.000000,1.000000,0.193492319386,0.169164109259,-3.596320908718,-3.765098065527,0.114966664026,0.130120235206
