round,draw_date,calibration_version,temperature,uniform_mix,rank_preserved,calibrated_top7_hits,champion_top7_hits,calibrated_actual_mass,champion_actual_mass,calibrated_mean_log_prob_actual,champion_mean_log_prob_actual,calibrated_brier,champion_brier
第662回,2026-01-30,shrink-0p93-1209c16b93,1.000000,0.930000,true,0.000000,0.000000,0.184826404650,0.126863695773,-3.634293800451,-4.032065617617,0.117255204951,0.170082145028
第663回,2026-02-06,shrink-0p93-1209c16b93,1.000000,0.930000,true,1.000000,1.000000,0.185303886330,0.133684862623,-3.631768809923,-3.993146375028,0.117091718176,0.162610089559
第664回,2026-02-13,shrink-0p97-2331e361dd,1.000000,0.970000,true,0.000000,0.000000,0.187310117725,0.126553473704,-3.620913024678,-4.044070294780,0.116388432677,0.157547463331
第665回,2026-02-20,shrink-0p97-2331e361dd,1.000000,0.970000,true,4.000000,4.000000,0.189641023748,0.204250341144,-3.608638969396,-3.647675454626,0.115717921332,0.130305918688
第666回,2026-02-27,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.188943958916,0.181014846749,-3.612367605706,-3.780895047032,0.115912584566,0.131946690085
第667回,2026-03-06,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.190521967626,0.233615137074,-3.604346246537,-3.616373037462,0.115461058117,0.116177128265
第668回,2026-03-13,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.191535875860,0.267412078208,-3.599438215795,-3.571719178944,0.115174359434,0.109842396199
第669回,2026-03-20,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.187775590748,0.142069241153,-3.618450221654,-3.956298753596,0.116258725873,0.156764929616
第670回,2026-03-27,shrink-0p97-2331e361dd,1.000000,0.970000,true,0.000000,0.000000,0.187887792185,0.145809289060,-3.617836731688,-3.899443991092,0.116219388018,0.147607119690
第671回,2026-04-03,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.191398140877,0.262820912101,-3.600081206671,-3.597153341995,0.115211222839,0.108388105816
第672回,2026-04-10,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.188542447363,0.167631128328,-3.614414136078,-3.831111229845,0.116036653264,0.146160733894
