round,draw_date,training_rows,selected_research_model,selection_score,champion_tickets,research_tickets,champion_max_hits,research_max_hits,random_mean_max_hits,champion_mean_hits,research_mean_hits,random_mean_ticket_hits,champion_ge3,research_ge3,random_ge3_rate,champion_ge4,research_ge4,random_ge4_rate,champion_score,research_score,random_mean_score,research_delta_vs_champion,research_delta_vs_random
679,2026-05-29,678,stable-9892a39bad,2.801912,06 07 08 09 12 17 22 | 02 06 08 15 16 22 24 | 05 06 07 12 15 16 22 | 06 09 12 16 20 22 24 | 02 06 07 09 14 22 24,06 07 09 12 16 22 33 | 02 04 06 08 12 15 22 | 06 09 12 17 18 22 24 | 01 06 07 12 15 22 24 | 05 06 07 08 12 17 22,4,5,2.375000,3.600000,3.400000,1.343750,1,1,0.406250,1,1,0.062500,5.460000,6.440000,2.698437,0.980000,3.741562
680,2026-06-05,679,stable-9892a39bad,2.854176,06 08 09 13 17 22 24 | 06 12 16 18 22 24 33 | 06 07 08 12 15 17 22 | 06 07 09 16 22 24 27 | 05 06 09 15 18 22 24,06 08 09 12 18 22 24 | 03 06 07 13 15 16 22 | 04 06 07 22 24 33 35 | 01 05 06 07 12 14 22 | 06 07 12 22 24 26 34,3,2,2.375000,1.800000,1.400000,1.150000,1,0,0.468750,0,0,0.031250,3.530000,2.140000,2.677500,-1.390000,-0.537500
681,2026-06-12,680,stable-9892a39bad,2.847637,06 07 08 09 15 22 24 | 06 10 12 16 22 26 31 | 02 06 08 09 12 17 22 | 06 12 13 18 22 24 33 | 06 07 09 12 16 22 37,01 06 08 09 12 15 22 | 06 07 09 16 22 24 25 | 06 09 10 13 18 22 33 | 06 09 12 13 22 24 29 | 06 07 12 18 19 22 31,3,3,2.343750,1.400000,1.800000,1.318750,1,1,0.343750,0,0,0.062500,3.490000,3.530000,2.642812,0.040000,0.887188
682,2026-06-19,681,stable-9892a39bad,2.867461,06 09 10 12 22 26 33 | 06 07 08 11 16 22 24 | 06 08 09 10 15 22 24 | 05 06 07 08 09 12 22 | 06 09 12 13 14 22 24,06 09 12 22 24 26 33 | 06 07 09 10 12 17 22 | 06 08 09 14 15 19 22 | 06 07 12 18 19 22 24 | 03 06 09 12 15 16 22,1,1,2.718750,0.400000,0.400000,1.350000,0,0,0.593750,0,0,0.125000,1.040000,1.040000,3.155312,0.000000,-2.115312
683,2026-06-26,682,stable-9892a39bad,2.852284,06 09 12 15 16 22 24 | 06 07 09 10 18 22 35 | 06 08 09 13 22 33 36 | 06 07 09 12 19 22 26 | 01 06 08 12 18 22 28,06 07 09 12 22 24 28 | 06 12 13 16 18 22 33 | 05 06 09 10 12 16 22 | 06 08 12 17 22 29 36 | 03 06 08 09 15 18 22,2,3,2.718750,1.400000,1.600000,1.387500,0,1,0.562500,0,0,0.156250,2.140000,3.510000,3.171562,1.370000,0.338438
684,2026-07-03,683,stable-9892a39bad,2.871127,06 08 09 12 22 28 36 | 06 07 09 13 17 22 24 | 01 06 09 10 16 22 33 | 06 09 12 14 17 22 33 | 05 06 09 10 12 22 24,06 09 10 12 17 19 22 | 06 08 09 18 22 24 33 | 06 07 12 13 16 22 33 | 04 06 09 12 15 22 24 | 06 11 22 28 29 35 36,2,2,2.500000,1.000000,0.800000,1.325000,0,0,0.500000,0,0,0.093750,2.100000,2.080000,2.877813,-0.020000,-0.797813
685,2026-07-10,684,stable-9892a39bad,2.863392,06 08 12 14 17 22 36 | 06 07 09 19 20 22 33 | 06 08 09 15 22 33 36 | 06 07 09 13 17 22 36 | 06 11 12 15 19 22 24,06 08 09 12 17 22 36 | 06 10 14 18 22 24 33 | 06 07 14 15 19 22 36 | 06 07 08 11 12 19 22 | 01 06 09 16 22 26 28,2,3,2.406250,1.200000,1.400000,1.275000,0,1,0.437500,0,0,0.031250,2.120000,3.490000,2.710313,1.370000,0.779688
686,2026-07-17,685,stable-9892a39bad,2.876686,06 09 16 17 18 22 28 | 01 05 07 12 14 22 36 | 06 08 15 19 21 22 36 | 06 10 16 20 22 24 36 | 06 09 12 15 16 22 33,06 09 12 13 17 22 28 | 08 09 11 16 18 22 36 | 06 08 12 15 19 22 36 | 04 06 08 16 17 22 33 | 01 05 07 09 14 19 22,2,2,2.375000,1.000000,0.800000,1.343750,0,0,0.406250,0,0,0.062500,2.100000,2.080000,2.698437,-0.020000,-0.618437
687,2026-07-24,686,stable-9892a39bad,2.875863,01 06 07 09 16 22 35 | 06 10 12 16 18 22 36 | 05 06 08 09 16 17 22 | 01 06 12 16 17 22 31 | 04 06 09 12 16 22 24,06 08 12 16 19 22 36 | 01 07 09 15 16 22 35 | 06 17 18 22 24 28 35 | 09 13 16 17 18 22 36 | 06 08 09 16 17 20 22,2,2,2.437500,1.400000,1.800000,1.318750,0,0,0.437500,0,0,0.031250,2.140000,2.180000,2.745938,0.040000,-0.565937
688,2026-07-31,687,stable-9892a39bad,2.870029,06 09 12 15 16 22 24 | 01 16 17 18 22 24 36 | 06 11 14 16 22 29 36 | 06 09 17 22 24 29 36 | 07 09 16 19 22 24 36,01 06 09 12 22 28 36 | 16 17 18 22 24 33 35 | 01 07 08 15 16 22 29 | 06 07 10 22 24 35 36 | 06 12 16 17 19 22 34,0,1,2.375000,0.000000,0.600000,1.262500,0,0,0.406250,0,0,0.000000,0.000000,1.060000,2.643438,1.060000,-1.583438
689,2026-08-07,688,stable-9892a39bad,2.843000,06 08 09 16 22 35 36 | 12 16 21 22 24 28 36 | 06 09 15 16 17 22 24 | 06 07 12 16 22 24 25 | 06 15 16 21 22 28 35,06 09 16 22 33 35 36 | 07 12 17 18 22 24 25 | 06 08 12 16 19 22 24 | 01 16 21 22 24 25 36 | 06 07 12 15 20 22 36,1,2,2.437500,1.000000,1.200000,1.337500,0,0,0.375000,0,0,0.093750,1.100000,2.120000,2.772813,1.020000,-0.652813
690,2026-08-14,689,stable-9892a39bad,2.824578,01 22 24 28 33 35 36 | 06 09 13 16 22 24 35 | 06 08 15 18 22 24 36 | 16 18 22 23 25 35 36 | 09 12 18 21 22 24 28,12 15 16 18 22 24 35 | 06 09 17 22 28 33 36 | 06 19 22 24 32 35 36 | 01 02 06 09 16 22 24 | 08 09 16 22 30 35 36,2,1,2.437500,0.800000,0.400000,1.406250,0,0,0.437500,0,0,0.062500,2.080000,1.040000,2.778125,-1.040000,-1.738125
691,2026-08-21,690,stable-9892a39bad,2.799461,06 16 18 22 25 35 36 | 15 17 18 20 22 24 36 | 06 12 18 22 24 28 35 | 06 09 16 17 22 24 35 | 01 08 20 22 24 25 35,06 12 18 22 24 33 35 | 01 09 20 22 24 25 36 | 16 17 22 24 29 35 36 | 16 18 22 24 25 28 35 | 04 06 18 22 25 35 36,3,2,2.250000,1.600000,1.200000,1.187500,1,0,0.312500,0,0,0.062500,3.510000,2.120000,2.525000,-1.390000,-0.405000
692,2026-08-28,691,stable-9892a39bad,2.785059,08 16 18 20 22 24 36 | 06 07 09 10 22 24 35 | 06 18 20 22 23 29 35 | 13 17 20 22 24 25 35 | 10 15 18 22 23 24 33,09 12 18 20 22 25 35 | 06 08 17 20 22 24 33 | 10 15 22 23 24 35 36 | 06 10 16 20 22 27 35 | 01 06 09 18 19 22 24,2,3,2.593750,1.800000,1.600000,1.350000,0,1,0.500000,0,0,0.093750,2.180000,3.510000,2.974063,1.330000,0.535937
693,2026-09-04,692,stable-9892a39bad,2.809667,06 12 18 20 22 23 35 | 04 10 15 18 20 22 24 | 10 18 20 22 28 31 35 | 08 09 14 18 22 24 35 | 09 16 18 20 21 22 36,06 16 18 20 22 24 28 | 08 09 18 19 22 35 36 | 15 17 18 20 22 25 35 | 12 18 22 23 24 32 35 | 05 09 10 18 20 22 31,3,4,2.500000,2.000000,2.400000,1.487500,1,1,0.500000,0,1,0.062500,3.550000,5.340000,2.870625,1.790000,2.469375
